,occurences_epa,articles_epa,frac_of_articles_epa,occurences_nepa,articles_nepa,frac_of_articles_nepa,_merge,enrich_in_epa
later,1165,940,0.124900345,3180,2689,0.05378,both,2.322431117
cell,262,79,0.010496944,463,226,0.00452,both,2.322332727
bear,173,101,0.013420144,351,289,0.00578,both,2.321824135
basi,101,94,0.012490035,291,269,0.00538,both,2.32156776
holi,96,73,0.009699708,280,209,0.00418,both,2.32050423
bin,52,22,0.0029232,99,63,0.00126,both,2.319999663
server,39,22,0.0029232,153,63,0.00126,both,2.319999663
supplement,32,22,0.0029232,69,63,0.00126,both,2.319999663
cycl,127,81,0.010762689,322,232,0.00464,both,2.319545117
gone,42,37,0.00491629,114,106,0.00212,both,2.319004808
devil,41,30,0.003986181,125,86,0.00172,both,2.317547232
hard,116,91,0.012091416,301,261,0.00522,both,2.316363299
elit,44,38,0.005049163,131,109,0.00218,both,2.316129772
describ,607,498,0.066170609,1578,1429,0.02858,both,2.315276716
requir,232,184,0.024448578,649,528,0.01056,both,2.315206275
must,112,92,0.012224289,324,264,0.00528,both,2.315206275
enabl,69,62,0.008238108,195,178,0.00356,both,2.314075251
hour,160,124,0.016476216,440,356,0.00712,both,2.314075251
theme,137,124,0.016476216,435,356,0.00712,both,2.314075251
manchest,119,63,0.008370981,301,181,0.00362,both,2.31242558
execut,306,245,0.032553813,888,704,0.01408,both,2.312060614
kick,28,24,0.003188945,102,69,0.00138,both,2.310829703
survivor,29,24,0.003188945,91,69,0.00138,both,2.310829703
dvd,77,56,0.007440872,215,161,0.00322,both,2.310829703
soul,75,56,0.007440872,193,161,0.00322,both,2.310829703
extens,179,167,0.022189742,544,481,0.00962,both,2.306626011
scene,120,101,0.013420144,345,291,0.00582,both,2.305866581
speaker,91,69,0.009168217,274,199,0.00398,both,2.303572072
asian,128,95,0.012622907,374,274,0.00548,both,2.303450229
man,340,261,0.034679777,919,753,0.01506,both,2.302774022
organis,204,157,0.020861015,587,453,0.00906,both,2.302540303
barcelona,75,35,0.004650545,136,101,0.00202,both,2.30224989
incorpor,146,132,0.017539197,414,381,0.00762,both,2.301731949
sector,59,53,0.007042254,200,153,0.00306,both,2.30139004
hardwar,36,27,0.003587563,109,78,0.00156,both,2.299719945
newton,31,18,0.002391709,78,52,0.00104,both,2.299719945
acquir,131,118,0.01567898,392,341,0.00682,both,2.298970607
height,121,91,0.012091416,311,263,0.00526,both,2.298748369
phillip,32,28,0.003720436,105,81,0.00162,both,2.296565323
contest,225,151,0.020063779,577,437,0.00874,both,2.295626876
govern,1068,605,0.080387988,2498,1751,0.03502,both,2.295487959
andi,59,38,0.005049163,130,110,0.0022,both,2.295074046
constant,34,29,0.003853309,111,84,0.00168,both,2.29363603
come,285,255,0.033882541,804,739,0.01478,both,2.292458764
consist,476,425,0.056470901,1320,1232,0.02464,both,2.29183851
made,1005,814,0.108158384,2857,2360,0.0472,both,2.291491192
standard,241,189,0.025112942,749,548,0.01096,both,2.291326807
allianc,94,70,0.00930109,249,203,0.00406,both,2.290908758
matt,48,40,0.005314908,129,116,0.00232,both,2.290908758
pseudonym,31,30,0.003986181,93,87,0.00174,both,2.290908758
across,280,251,0.03335105,798,728,0.01456,both,2.290594072
ray,74,62,0.008238108,223,180,0.0036,both,2.288363304
indian,724,375,0.049827265,1495,1089,0.02178,both,2.287753236
yield,23,21,0.002790327,69,61,0.00122,both,2.28715317
prior,199,192,0.02551156,588,558,0.01116,both,2.285982072
display,100,88,0.011692798,331,256,0.00512,both,2.283749668
wong,22,11,0.0014616,56,32,0.00064,both,2.283749668
type,401,289,0.038400213,1036,841,0.01682,both,2.283009072
like,537,435,0.057799628,1493,1266,0.02532,both,2.282765717
known,2610,2047,0.271990433,6816,5959,0.11918,both,2.282181852
camera,43,34,0.004517672,192,99,0.00198,both,2.281652561
broad,59,57,0.007573744,192,166,0.00332,both,2.281248299
colleagu,23,23,0.003056072,81,67,0.00134,both,2.280650957
scholarli,24,23,0.003056072,71,67,0.00134,both,2.280650957
agent,119,104,0.013818762,382,303,0.00606,both,2.280323701
wayn,63,35,0.004650545,125,102,0.00204,both,2.279678813
striker,41,36,0.004783417,111,105,0.0021,both,2.27781785
briefli,54,52,0.006909381,152,152,0.00304,both,2.272822636
hybrid,41,26,0.00345469,108,76,0.00152,both,2.272822636
specifi,42,26,0.00345469,86,76,0.00152,both,2.272822636
suitabl,27,26,0.00345469,79,76,0.00152,both,2.272822636
take,458,391,0.051953229,1281,1143,0.02286,both,2.272669677
met,109,92,0.012224289,329,269,0.00538,both,2.272172701
shortli,96,92,0.012224289,276,269,0.00538,both,2.272172701
catch,33,28,0.003720436,89,82,0.00164,both,2.268558428
meal,21,14,0.001860218,59,41,0.00082,both,2.268558428
suppos,30,28,0.003720436,88,82,0.00164,both,2.268558428
wound,50,42,0.005580654,153,123,0.00246,both,2.268558428
colour,88,58,0.007706617,204,170,0.0034,both,2.266652077
approach,90,87,0.011559926,302,255,0.0051,both,2.266652077
coloni,227,131,0.017406325,551,384,0.00768,both,2.266448534
fill,69,59,0.00783949,192,173,0.00346,both,2.265748488
uk,472,257,0.034148286,1048,754,0.01508,both,2.264475195
came,288,260,0.034546904,838,763,0.01526,both,2.263886243
bruce,57,46,0.006112145,150,135,0.0027,both,2.263757246
burn,77,62,0.008238108,233,182,0.00364,both,2.263216454
inner,53,48,0.00637789,170,141,0.00282,both,2.261663114
ranger,70,32,0.004251927,157,94,0.00188,both,2.261663114
jackson,138,66,0.008769599,294,194,0.00388,both,2.260205857
spent,169,152,0.020196652,490,447,0.00894,both,2.259133289
dissolv,39,34,0.004517672,103,100,0.002,both,2.258836035
render,39,34,0.004517672,116,100,0.002,both,2.258836035
shark,61,17,0.002258836,78,50,0.001,both,2.258836035
bold,20,18,0.002391709,59,53,0.00106,both,2.256329003
horizont,21,18,0.002391709,63,53,0.00106,both,2.256329003
allow,290,254,0.033749668,885,748,0.01496,both,2.255993838
caribbean,48,37,0.00491629,142,109,0.00218,both,2.255178988
disabl,54,37,0.00491629,143,109,0.00218,both,2.255178988
guid,89,74,0.00983258,275,218,0.00436,both,2.255178988
fell,63,58,0.007706617,183,171,0.00342,both,2.253396801
featur,1078,753,0.100053149,2815,2221,0.04442,both,2.252434693
pc,51,40,0.005314908,182,118,0.00236,both,2.252079796
graphic,72,61,0.008105235,245,180,0.0036,both,2.251454218
oldest,158,124,0.016476216,402,366,0.00732,both,2.250849151
chemist,22,21,0.002790327,67,62,0.00124,both,2.250263602
exit,22,21,0.002790327,79,62,0.00124,both,2.250263602
parad,29,21,0.002790327,105,62,0.00124,both,2.250263602
rey,41,21,0.002790327,81,62,0.00124,both,2.250263602
ticket,23,21,0.002790327,110,62,0.00124,both,2.250263602
conserv,249,157,0.020861015,663,464,0.00928,both,2.247954218
diplomat,86,68,0.009035344,237,201,0.00402,both,2.247598045
gap,24,23,0.003056072,109,68,0.00136,both,2.247111973
grammar,33,23,0.003056072,98,68,0.00136,both,2.247111973
voyag,43,24,0.003188945,107,71,0.00142,both,2.245735909
entitl,77,72,0.009566835,233,213,0.00426,both,2.245735909
end,779,615,0.081716715,2179,1820,0.0364,both,2.244964708
mere,25,25,0.003321818,80,74,0.00148,both,2.244471418
quarter,62,51,0.006776508,183,151,0.00302,both,2.243876856
regul,103,77,0.010231199,298,228,0.00456,both,2.243683884
may,2015,1414,0.187882009,5032,4188,0.08376,both,2.243099439
present,471,394,0.052351847,1408,1167,0.02334,both,2.243009723
never,180,160,0.021259633,519,474,0.00948,both,2.242577349
mainli,189,169,0.022455488,523,501,0.01002,both,2.241066631
big,220,170,0.02258836,677,504,0.01008,both,2.240908765
bull,42,29,0.003853309,138,86,0.00172,both,2.240295657
output,31,29,0.003853309,102,86,0.00172,both,2.240295657
india,799,362,0.04809992,1485,1074,0.02148,both,2.239288653
recent,298,276,0.036672867,876,819,0.01638,both,2.238880793
ed,59,31,0.004119054,117,92,0.00184,both,2.238616275
import,410,344,0.045708212,1177,1021,0.02042,both,2.238404091
younger,72,69,0.009168217,217,205,0.0041,both,2.236150451
fought,93,78,0.010364071,274,232,0.00464,both,2.233636039
joe,102,80,0.010629817,318,238,0.00476,both,2.233154755
soil,58,41,0.005447781,175,122,0.00244,both,2.232697142
drummer,77,50,0.006643635,185,149,0.00298,both,2.229407851
everi,227,205,0.027238905,705,611,0.01222,both,2.229042973
explain,60,52,0.006909381,166,155,0.0031,both,2.22883252
financ,67,62,0.008238108,213,185,0.0037,both,2.226515647
block,131,95,0.012622907,367,284,0.00568,both,2.222342827
larger,132,117,0.015546107,379,350,0.007,both,2.220872404
regular,179,147,0.019532288,512,440,0.0088,both,2.21957819
author,675,516,0.068562317,1896,1545,0.0309,both,2.21884522
label,251,182,0.024182833,729,545,0.0109,both,2.218608518
associ,816,666,0.088493223,2470,1997,0.03994,both,2.215654068
letter,160,99,0.013154398,402,297,0.00594,both,2.214545132
lisa,23,19,0.002524581,66,57,0.00114,both,2.214545132
favorit,30,28,0.003720436,92,84,0.00168,both,2.214545132
touch,50,32,0.004251927,107,96,0.00192,both,2.214545132
wire,25,23,0.003056072,82,69,0.00138,both,2.214545132
bangladesh,113,41,0.005447781,206,123,0.00246,both,2.214545132
buy,30,27,0.003587563,91,81,0.00162,both,2.214545132
hood,23,18,0.002391709,64,54,0.00108,both,2.214545132
hunter,42,36,0.004783417,149,108,0.00216,both,2.214545132
inherit,38,36,0.004783417,127,108,0.00216,both,2.214545132
leg,71,49,0.006510763,181,147,0.00294,both,2.214545132
vietnam,110,49,0.006510763,202,147,0.00294,both,2.214545132
audio,42,31,0.004119054,116,93,0.00186,both,2.214545132
coproduc,23,22,0.0029232,71,66,0.00132,both,2.214545132
tribal,28,26,0.00345469,106,78,0.00156,both,2.214545132
anchor,32,30,0.003986181,127,90,0.0018,both,2.214545132
extra,39,30,0.003986181,100,90,0.0018,both,2.214545132
woodi,31,17,0.002258836,61,51,0.00102,both,2.214545132
suspens,24,21,0.002790327,70,63,0.00126,both,2.214545132
ferdinand,24,16,0.002125963,57,48,0.00096,both,2.214545132
malcolm,22,16,0.002125963,63,48,0.00096,both,2.214545132
penguin,47,15,0.001993091,68,45,0.0009,both,2.214545132
shoe,28,15,0.001993091,68,45,0.0009,both,2.214545132
crown,93,79,0.010496944,302,237,0.00474,both,2.214545132
give,204,182,0.024182833,581,547,0.01094,both,2.210496604
year,2816,1662,0.220834441,6857,4997,0.09994,both,2.209670208
loss,160,121,0.016077598,417,364,0.00728,both,2.208461217
king,549,320,0.042519267,1557,963,0.01926,both,2.207646238
version,400,306,0.040659049,1382,921,0.01842,both,2.20733163
founder,214,195,0.025910178,629,587,0.01174,both,2.206999834
split,98,91,0.012091416,304,274,0.00548,both,2.206462851
singl,1531,582,0.077331916,2795,1753,0.03506,both,2.205702111
understand,69,60,0.007972362,198,181,0.00362,both,2.202310076
screenwrit,46,46,0.006112145,148,139,0.00278,both,2.198613153
artist,852,455,0.060457082,1821,1375,0.0275,both,2.19843935
beauti,117,88,0.011692798,331,266,0.00532,both,2.197894417
set,544,432,0.05740101,1659,1306,0.02612,both,2.197588432
program,527,378,0.050225884,1763,1143,0.02286,both,2.197107769
ross,61,41,0.005447781,161,124,0.00248,both,2.196685897
enough,82,74,0.00983258,237,224,0.00448,both,2.194772408
fire,218,144,0.01913367,632,436,0.00872,both,2.194228205
ensembl,38,35,0.004650545,137,106,0.00212,both,2.193653197
apart,75,68,0.009035344,233,206,0.00412,both,2.193044694
pink,58,34,0.004517672,136,103,0.00206,both,2.193044694
second,1215,933,0.123970237,3351,2827,0.05654,both,2.192611187
parliamentari,72,63,0.008370981,228,191,0.00382,both,2.191356178
asset,32,31,0.004119054,142,94,0.00188,both,2.190986142
emigr,40,31,0.004119054,101,94,0.00188,both,2.190986142
lesser,35,31,0.004119054,104,94,0.00188,both,2.190986142
sarah,38,31,0.004119054,108,94,0.00188,both,2.190986142
disappear,36,29,0.003853309,92,88,0.00176,both,2.189379847
monday,32,28,0.003720436,89,85,0.0017,both,2.18849166
wonder,36,28,0.003720436,102,85,0.0017,both,2.18849166
holder,30,27,0.003587563,93,82,0.00164,both,2.187538484
journalist,146,130,0.017273452,463,395,0.0079,both,2.186512916
possibl,196,174,0.023119851,608,529,0.01058,both,2.185241133
toni,82,74,0.00983258,270,225,0.0045,both,2.185017864
convers,57,49,0.006510763,161,149,0.00298,both,2.184819694
leo,31,24,0.003188945,81,73,0.00146,both,2.184208898
submit,25,24,0.003188945,80,73,0.00146,both,2.184208898
go,189,168,0.022322615,596,511,0.01022,both,2.184208898
admit,51,44,0.005846399,144,134,0.00268,both,2.18149222
counsel,29,22,0.0029232,81,67,0.00134,both,2.18149222
coffe,55,21,0.002790327,104,64,0.00128,both,2.179942865
wherea,42,41,0.005447781,126,125,0.0025,both,2.17911241
max,50,40,0.005314908,159,122,0.00244,both,2.178241114
segment,49,40,0.005314908,176,122,0.00244,both,2.178241114
inland,21,20,0.002657454,64,61,0.00122,both,2.178241114
iii,124,99,0.013154398,375,302,0.00604,both,2.177880478
progress,136,118,0.01567898,424,360,0.0072,both,2.177636047
henc,38,38,0.005049163,120,116,0.00232,both,2.17636332
missil,29,19,0.002524581,89,58,0.00116,both,2.17636332
flight,95,74,0.00983258,333,226,0.00452,both,2.175349643
flag,73,36,0.004783417,203,110,0.0022,both,2.174280675
random,39,18,0.002391709,67,55,0.0011,both,2.174280675
roster,22,18,0.002391709,60,55,0.0011,both,2.174280675
cancer,104,53,0.007042254,273,162,0.00324,both,2.173535037
annual,245,229,0.03042785,785,700,0.014,both,2.173417866
fortun,39,34,0.004517672,113,104,0.00208,both,2.171957726
hole,67,34,0.004517672,140,104,0.00208,both,2.171957726
kind,89,83,0.011028435,277,254,0.00508,both,2.170951724
urban,119,99,0.013154398,380,303,0.00606,both,2.170692754
classic,263,210,0.027903269,796,643,0.01286,both,2.169772058
armstrong,43,16,0.002125963,67,49,0.00098,both,2.169350334
saga,21,16,0.002125963,61,49,0.00098,both,2.169350334
therefor,86,80,0.010629817,262,245,0.0049,both,2.169350334
task,52,47,0.006245017,192,144,0.00288,both,2.168408776
settl,87,78,0.010364071,259,239,0.00478,both,2.168215736
shell,54,31,0.004119054,131,95,0.0019,both,2.16792313
th,1717,1063,0.141243689,4693,3258,0.06516,both,2.167644085
previous,278,261,0.034679777,829,800,0.016,both,2.167486048
thu,161,152,0.020196652,501,466,0.00932,both,2.167022705
biographi,35,30,0.003986181,106,92,0.00184,both,2.166402847
circul,41,30,0.003986181,105,92,0.00184,both,2.166402847
cornel,20,15,0.001993091,62,46,0.00092,both,2.166402847
half,194,173,0.022986978,619,531,0.01062,both,2.164498915
releas,2466,1064,0.141376561,5156,3266,0.06532,both,2.164368666
easili,46,43,0.005713526,135,132,0.00264,both,2.164214561
one,3532,2196,0.291788467,8776,6743,0.13486,both,2.163639824
molecular,37,28,0.003720436,113,86,0.00172,both,2.163044083
volcano,44,14,0.001860218,71,43,0.00086,both,2.163044083
establish,666,543,0.07214988,1907,1668,0.03336,both,2.162766199
replac,311,258,0.034281159,931,793,0.01586,both,2.161485413
tom,97,81,0.010762689,300,249,0.00498,both,2.161182599
broadcast,342,242,0.032155195,1119,744,0.01488,both,2.160967428
lit,45,40,0.005314908,132,123,0.00246,both,2.160531837
florida,208,120,0.015944725,590,369,0.00738,both,2.160531837
find,116,106,0.014084507,354,326,0.00652,both,2.160200467
intend,111,104,0.013818762,346,320,0.0064,both,2.159181504
asid,25,25,0.003321818,83,77,0.00154,both,2.15702448
youth,161,125,0.016609088,532,385,0.0077,both,2.15702448
order,434,347,0.04610683,1369,1069,0.02138,both,2.156540208
wish,41,37,0.00491629,132,114,0.00228,both,2.156267629
interchang,27,24,0.003188945,97,74,0.00148,both,2.154692561
saudi,44,24,0.003188945,135,74,0.00148,both,2.154692561
tabl,85,60,0.007972362,243,185,0.0037,both,2.154692561
bolivia,39,36,0.004783417,140,111,0.00222,both,2.154692561
rest,118,107,0.01421738,352,330,0.0066,both,2.154148447
ms,33,23,0.003056072,76,71,0.00142,both,2.152163579
retreat,34,23,0.003056072,82,71,0.00142,both,2.152163579
greec,135,67,0.008902471,260,207,0.00414,both,2.150355418
ceremoni,91,78,0.010364071,330,241,0.00482,both,2.150222245
lay,35,33,0.004384799,117,102,0.00204,both,2.149411452
matthew,59,44,0.005846399,181,136,0.00272,both,2.149411452
smooth,25,22,0.0029232,86,68,0.00136,both,2.149411452
african,229,141,0.018735052,619,436,0.00872,both,2.148515117
compact,30,21,0.002790327,82,65,0.0013,both,2.146405282
rover,57,21,0.002790327,89,65,0.0013,both,2.146405282
select,279,218,0.02896625,830,675,0.0135,both,2.145648173
rain,45,31,0.004119054,124,96,0.00192,both,2.145340597
cooper,126,93,0.012357162,380,288,0.00576,both,2.145340597
know,58,49,0.006510763,179,152,0.00304,both,2.141698253
hand,155,137,0.018203561,497,425,0.0085,both,2.14159541
someth,44,39,0.005182036,128,121,0.00242,both,2.141337029
string,52,39,0.005182036,169,121,0.00242,both,2.141337029
turn,207,193,0.025644433,659,599,0.01198,both,2.140603726
two,2120,1474,0.195854372,5722,4575,0.0915,both,2.140484935
allamerican,21,19,0.002524581,82,59,0.00118,both,2.139475806
plateau,21,19,0.002524581,81,59,0.00118,both,2.139475806
land,420,303,0.040260431,1323,942,0.01884,both,2.136965526
went,264,238,0.031623704,818,740,0.0148,both,2.13673679
sm,28,18,0.002391709,74,56,0.00112,both,2.135454235
public,819,620,0.082381079,2570,1929,0.03858,both,2.135331232
system,902,519,0.068960935,2637,1615,0.0323,both,2.135013481
partner,123,106,0.014084507,389,330,0.0066,both,2.134016219
trial,103,79,0.010496944,331,246,0.00492,both,2.133525189
memoir,29,26,0.00345469,109,81,0.00162,both,2.132524942
fun,19,17,0.002258836,56,53,0.00106,both,2.130977392
atlant,118,92,0.012224289,349,287,0.00574,both,2.129667096
minim,25,25,0.003321818,101,78,0.00156,both,2.12937032
tommi,34,25,0.003321818,95,78,0.00156,both,2.12937032
transit,86,74,0.00983258,289,231,0.00462,both,2.128264153
foundat,195,146,0.019399415,619,456,0.00912,both,2.127128877
dark,161,112,0.014881743,508,350,0.007,both,2.125963327
dwarf,24,16,0.002125963,72,50,0.001,both,2.125963327
ep,95,71,0.009433962,324,222,0.00444,both,2.124766276
fighter,74,47,0.006245017,194,147,0.00294,both,2.124155535
africa,313,210,0.027903269,867,657,0.01314,both,2.123536428
analog,25,23,0.003056072,97,72,0.00144,both,2.122272419
defeat,273,198,0.026308796,753,620,0.0124,both,2.121677111
address,98,76,0.010098326,276,238,0.00476,both,2.121497018
desert,83,53,0.007042254,220,166,0.00332,both,2.121160699
amongst,47,44,0.005846399,147,138,0.00276,both,2.118260561
friendship,26,22,0.0029232,85,69,0.00138,both,2.118260561
readi,25,22,0.0029232,83,69,0.00138,both,2.118260561
inform,295,226,0.030029232,974,709,0.01418,both,2.117717348
pan,49,36,0.004783417,151,113,0.00226,both,2.11655641
attorney,60,43,0.005713526,177,135,0.0027,both,2.116120904
dc,97,78,0.010364071,332,245,0.0049,both,2.115116575
rotat,46,28,0.003720436,126,88,0.00176,both,2.11388399
telephon,52,21,0.002790327,94,66,0.00132,both,2.11388399
businessman,81,77,0.010231199,256,242,0.00484,both,2.11388399
harri,156,84,0.011161307,349,264,0.00528,both,2.11388399
mediev,80,68,0.009035344,249,214,0.00428,both,2.111061715
fall,200,163,0.021658251,630,513,0.01026,both,2.110940682
albania,30,20,0.002657454,94,63,0.00126,both,2.109090602
underw,22,20,0.002657454,67,63,0.00126,both,2.109090602
xi,25,20,0.002657454,83,63,0.00126,both,2.109090602
innov,62,59,0.00783949,227,186,0.00372,both,2.107389723
free,275,215,0.028567632,814,678,0.01356,both,2.106757537
iraqi,30,13,0.001727345,82,41,0.00082,both,2.106518541
comput,311,169,0.022455488,986,533,0.01066,both,2.106518541
compil,154,135,0.017937816,506,426,0.00852,both,2.105377415
fact,81,77,0.010231199,263,243,0.00486,both,2.105184879
input,24,19,0.002524581,75,60,0.0012,both,2.103817876
congress,218,120,0.015944725,574,379,0.00758,both,2.103525719
minut,122,107,0.01421738,421,338,0.00676,both,2.103162685
cant,35,25,0.003321818,98,79,0.00158,both,2.102416265
abl,91,86,0.011427053,298,272,0.00544,both,2.100561192
chosen,65,61,0.008105235,206,193,0.00386,both,2.099801861
complex,211,151,0.020063779,619,478,0.00956,both,2.098721642
drama,274,175,0.023252724,663,554,0.01108,both,2.09862129
bow,28,18,0.002391709,83,57,0.00114,both,2.097990125
theologian,20,18,0.002391709,62,57,0.00114,both,2.097990125
remix,58,41,0.005447781,200,130,0.0026,both,2.095300395
parti,977,410,0.05447781,2592,1300,0.026,both,2.095300395
affair,118,105,0.013951634,414,333,0.00666,both,2.09483999
littl,219,175,0.023252724,649,555,0.0111,both,2.09483999
photo,31,29,0.003853309,123,92,0.00184,both,2.094189419
cut,107,87,0.011559926,326,276,0.00552,both,2.094189419
korean,166,81,0.010762689,441,257,0.00514,both,2.093908433
unit,2830,1620,0.215253787,7160,5141,0.10282,both,2.093501137
introduct,51,51,0.006776508,167,162,0.00324,both,2.091514847
kg,73,51,0.006776508,222,162,0.00324,both,2.091514847
presid,875,411,0.054610683,1953,1306,0.02612,both,2.090761216
anniversari,50,45,0.005979272,167,143,0.00286,both,2.090654496
denver,33,22,0.0029232,109,70,0.0014,both,2.087999696
necessari,45,44,0.005846399,145,140,0.0028,both,2.087999696
payment,29,22,0.0029232,124,70,0.0014,both,2.087999696
ralli,33,22,0.0029232,113,70,0.0014,both,2.087999696
qualiti,96,88,0.011692798,324,280,0.0056,both,2.087999696
candid,152,115,0.015280361,508,366,0.00732,both,2.087481067
bob,89,70,0.00930109,250,223,0.00446,both,2.085446089
mysteri,61,48,0.00637789,170,153,0.00306,both,2.084277772
cuba,64,32,0.004251927,145,102,0.00204,both,2.084277772
settler,42,32,0.004251927,109,102,0.00204,both,2.084277772
duck,33,16,0.002125963,68,51,0.00102,both,2.084277772
grain,20,16,0.002125963,74,51,0.00102,both,2.084277772
cap,74,58,0.007706617,204,185,0.0037,both,2.082869476
academi,276,205,0.027238905,910,654,0.01308,both,2.082485102
moham,26,21,0.002790327,92,67,0.00134,both,2.082333483
full,188,173,0.022986978,603,552,0.01104,both,2.082153847
earlier,146,134,0.017804943,439,428,0.00856,both,2.08001669
commemor,46,36,0.004783417,128,115,0.0023,both,2.079746733
virgin,45,36,0.004783417,149,115,0.0023,both,2.079746733
articl,235,164,0.021791124,597,524,0.01048,both,2.079305735
start,570,474,0.062981664,1751,1515,0.0303,both,2.078602758
issu,316,259,0.034414031,996,828,0.01656,both,2.07814199
peninsula,91,71,0.009433962,277,227,0.00454,both,2.077965256
lebanon,73,25,0.003321818,115,80,0.0016,both,2.076136062
streak,35,25,0.003321818,100,80,0.0016,both,2.076136062
exchang,112,80,0.010629817,326,256,0.00512,both,2.076136062
capabl,64,59,0.00783949,204,189,0.00378,both,2.073939092
yugoslavia,72,29,0.003853309,114,93,0.00186,both,2.071671253
back,391,328,0.043582248,1196,1054,0.02108,both,2.06746908
consortium,20,14,0.001860218,55,45,0.0009,both,2.06690879
stint,23,23,0.003056072,75,74,0.00148,both,2.064913705
handl,66,55,0.007307999,202,177,0.00354,both,2.064406479
stop,90,82,0.010895562,319,264,0.00528,both,2.063553419
eddi,47,27,0.003587563,103,87,0.00174,both,2.061817882
spur,25,18,0.002391709,70,58,0.00116,both,2.061817882
obtain,97,89,0.011825671,329,287,0.00574,both,2.06022143
prepar,83,66,0.008769599,246,213,0.00426,both,2.05859125
postwar,24,22,0.0029232,73,71,0.00142,both,2.05859125
assess,41,35,0.004650545,144,113,0.00226,both,2.057763176
integr,105,100,0.013287271,418,323,0.00646,both,2.056853064
ore,25,13,0.001727345,68,42,0.00084,both,2.056363337
structur,282,207,0.027504651,852,669,0.01338,both,2.055654002
austin,36,30,0.003986181,138,97,0.00194,both,2.054732597
profess,35,30,0.003986181,105,97,0.00194,both,2.054732597
voter,43,30,0.003986181,123,97,0.00194,both,2.054732597
white,449,261,0.034679777,1185,844,0.01688,both,2.054489145
tourism,38,34,0.004517672,157,110,0.0022,both,2.053487305
arcad,26,17,0.002258836,93,55,0.0011,both,2.053487305
hurrican,49,17,0.002258836,147,55,0.0011,both,2.053487305
sport,511,279,0.037071486,1388,903,0.01806,both,2.052684691
enlarg,27,21,0.002790327,72,68,0.00136,both,2.051710932
taken,161,155,0.02059527,538,502,0.01004,both,2.051321686
satellit,64,50,0.006643635,254,162,0.00324,both,2.050504752
crowd,26,25,0.003321818,98,81,0.00162,both,2.050504752
snow,32,25,0.003321818,111,81,0.00162,both,2.050504752
direct,717,590,0.078394898,2201,1912,0.03824,both,2.050075776
coupl,75,58,0.007706617,224,188,0.00376,both,2.049632197
descent,49,45,0.005979272,163,146,0.00292,both,2.047695842
clear,65,61,0.008105235,220,198,0.00396,both,2.046776562
sound,193,133,0.01767207,609,432,0.00864,both,2.04537849
sieg,30,24,0.003188945,99,78,0.00156,both,2.044195507
twin,57,48,0.00637789,205,156,0.00312,both,2.044195507
sharp,28,28,0.003720436,118,91,0.00182,both,2.044195507
chromosom,24,12,0.001594472,80,39,0.00078,both,2.044195507
malaysian,27,16,0.002125963,71,52,0.00104,both,2.044195507
penalti,28,20,0.002657454,95,65,0.0013,both,2.044195507
bank,289,185,0.024581451,1054,602,0.01204,both,2.041648752
father,308,243,0.032288068,979,791,0.01582,both,2.040965109
request,53,47,0.006245017,178,153,0.00306,both,2.040855318
resign,125,90,0.011958544,347,293,0.00586,both,2.040707119
book,870,504,0.066967845,2749,1641,0.03282,both,2.040458404
data,141,113,0.015014616,643,368,0.00736,both,2.040029348
sister,124,109,0.014483125,406,355,0.0071,both,2.039876784
client,41,31,0.004119054,144,101,0.00202,both,2.039135617
reconstruct,52,31,0.004119054,118,101,0.00202,both,2.039135617
carter,59,23,0.003056072,103,75,0.0015,both,2.037381522
sam,63,46,0.006112145,186,150,0.003,both,2.037381522
shooter,27,23,0.003056072,89,75,0.0015,both,2.037381522
acid,94,38,0.005049163,233,124,0.00248,both,2.035952783
joint,87,72,0.009566835,267,235,0.0047,both,2.035496803
electron,176,106,0.014084507,518,346,0.00692,both,2.035333388
steam,39,30,0.003986181,142,98,0.00196,both,2.033765938
columbu,20,15,0.001993091,59,49,0.00098,both,2.033765938
hang,31,26,0.00345469,92,85,0.0017,both,2.032170827
mark,316,267,0.035477013,1055,873,0.01746,both,2.031902235
reloc,39,37,0.00491629,126,121,0.00242,both,2.031524874
ben,68,48,0.00637789,198,157,0.00314,both,2.031175153
learn,105,96,0.01275578,392,314,0.00628,both,2.031175153
good,220,173,0.022986978,671,566,0.01132,both,2.030651809
pitch,40,33,0.004384799,172,108,0.00216,both,2.029999705
protocol,34,22,0.0029232,132,72,0.00144,both,2.029999705
innoc,21,18,0.002391709,70,59,0.00118,both,2.026871816
light,298,180,0.023917087,840,590,0.0118,both,2.026871816
first,3616,2144,0.284879086,9486,7028,0.14056,both,2.026743639
dick,47,25,0.003321818,101,82,0.00164,both,2.025498597
struck,26,25,0.003321818,95,82,0.00164,both,2.025498597
testament,32,25,0.003321818,100,82,0.00164,both,2.025498597
step,66,57,0.007573744,226,187,0.00374,both,2.025065335
special,364,301,0.039994685,1180,988,0.01976,both,2.024022525
list,1074,696,0.092479405,3325,2286,0.04572,both,2.022734137
fifti,34,28,0.003720436,99,92,0.00184,both,2.02197599
reactor,22,7,0.000930109,74,23,0.00046,both,2.02197599
playoff,67,49,0.006510763,224,161,0.00322,both,2.02197599
dialogu,27,21,0.002790327,76,69,0.00138,both,2.02197599
mention,94,84,0.011161307,329,276,0.00552,both,2.02197599
still,317,282,0.037470104,1022,928,0.01856,both,2.018863343
