page_id,page_namespace,page_title,page_restrictions,page_counter,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,pr_page,pr_type,pr_level,pr_cascade,pr_user,pr_expiry,pr_id
1784,0,Athenian_democracy,,16,0,0,0.84388981651877,20160629003426,20160629003447,726672657,75056,wikitext,1784,edit,autoconfirmed,0,,infinity,608658
1806,0,Arnold_Schwarzenegger,,925,0,0,0.0596074993345956,20160710012141,20160710012144,729119917,139694,wikitext,1806,edit,autoconfirmed,0,,infinity,513071
1828,0,Amitabh_Bachchan,,83,0,0,0.316958818879871,20160707092310,20160707092312,728738345,75886,wikitext,1828,edit,autoconfirmed,0,,infinity,268947
1844,0,Archimedes,,2040,0,0,0.766846111758469,20160707175934,20160707175936,728792453,69103,wikitext,1844,edit,autoconfirmed,0,,infinity,349487
1921,0,Al-Qaeda,,4108,0,0,0.954494871156751,20160709193806,20160709193234,728861629,213624,wikitext,1921,edit,autoconfirmed,0,,infinity,309909
1973,0,American_Revolution,,33,0,0,0.0815129914148832,20160707220128,20160706150537,728388840,147535,wikitext,1973,edit,autoconfirmed,0,,infinity,473669
2006,0,Auschwitz_concentration_camp,,1670,0,0,0.16485235482906202,20160707035244,20160705100520,728342334,99140,wikitext,2006,edit,autoconfirmed,0,,infinity,31958
2062,0,Amerigo_Vespucci,,1747,0,0,0.767552491060973,20160704194341,20160704192829,722650048,25156,wikitext,2062,edit,autoconfirmed,0,,infinity,551836
2077,0,Adam_Weishaupt,,546,0,0,0.22587562466587502,20160705100358,20160705100441,710398167,16927,wikitext,2077,edit,autoconfirmed,0,,20161031040356,595748
2129,0,Arizona_Diamondbacks,,450,0,0,0.127219688265789,20160709221812,20160706211643,726434631,20442,wikitext,2129,edit,autoconfirmed,0,,infinity,615484
2144,0,Aaliyah,,822,0,0,0.51952904790596,20160709090158,20160709090201,729023840,145221,wikitext,2144,edit,autoconfirmed,0,,infinity,456404
2154,0,African_Americans,,2465,0,0,0.6337385053129291,20160709234154,20160709234104,728861493,152647,wikitext,2154,edit,autoconfirmed,0,,infinity,597069
2174,0,Arsenal_F.C.,,500,0,0,0.5545229320922149,20160709225918,20160709225921,729106537,98406,wikitext,2174,edit,autoconfirmed,0,,infinity,310472
2176,0,Ahmad_Shah_Massoud,,1008,0,0,0.34225591117726295,20160706220146,20160705100520,727860618,100736,wikitext,2176,edit,autoconfirmed,0,,infinity,449150
2178,0,Atlantis,,1120,0,0,0.5077847805878011,20160705215849,20160705215851,728511932,85025,wikitext,2178,edit,autoconfirmed,0,,infinity,602862
2208,0,Arctic_fox,,252,0,0,0.569834643574277,20160708122230,20160708122235,727860651,24215,wikitext,2208,edit,autoconfirmed,0,,20181031220520,595792
2216,0,Abu_Sayyaf,,274,0,0,0.418323688598651,20160710013420,20160710013335,728643398,90373,wikitext,2216,edit,autoconfirmed,0,,20161114150221,620312
2273,0,AFC_Ajax,,788,0,0,0.15560779176243397,20160708122945,20160708122956,728646430,123672,wikitext,2273,edit,autoconfirmed,0,,infinity,356323
2321,0,Area_51,,710,0,0,0.225979169109817,20160705100358,20160705100518,727865697,74741,wikitext,2321,edit,autoconfirmed,0,,infinity,212740
2335,0,Adamic_language,,285,0,0,0.8100403554831079,20160706182048,20160706182048,728648379,9140,wikitext,2335,edit,autoconfirmed,0,,infinity,546939
2358,0,A.S._Roma,,250,0,0,0.53494109076908,20160710002121,20160710002123,729114321,76797,wikitext,2358,edit,autoconfirmed,0,,infinity,342923
2369,0,Aston_Martin,,152,0,0,0.724454041313803,20160706110952,20160704192615,727865730,60508,wikitext,2369,edit,autoconfirmed,0,,infinity,565566
2441,0,House_of_Ascania,,73,0,0,0.481852010341223,20160704191912,20160704192745,662835996,6274,wikitext,2441,edit,autoconfirmed,0,,infinity,462789
2460,0,Anal_sex,,5984,0,0,0.142589802055238,20160709145447,20160709150105,728132830,103412,wikitext,2460,edit,autoconfirmed,0,,infinity,379645
2482,0,Arc_de_Triomphe,,903,0,0,0.865245849699942,20160704191912,20160704192638,728215929,22385,wikitext,2482,edit,autoconfirmed,0,,infinity,396118
2500,0,Anus,,1245,0,0,0.935952486410693,20160629003426,20160629003500,720876041,4954,wikitext,2500,edit,autoconfirmed,0,,infinity,114844
2504,0,Amphetamine,,751,0,0,0.656772732415025,20160709172828,20160709172832,729070659,197386,wikitext,2504,edit,autoconfirmed,0,,infinity,567509
2594,0,Ant,,823,0,0,0.868527074222012,20160708162820,20160708162823,728926722,120528,wikitext,2594,edit,autoconfirmed,0,,infinity,314605
2722,0,Anders_Celsius,,2629,0,0,0.147708496216413,20160709111010,20160709111011,729033429,8650,wikitext,2722,edit,autoconfirmed,0,,infinity,489098
2905,0,Artemis,,1381,0,0,0.405785624315763,20160705100358,20160705100522,727125511,48844,wikitext,2905,edit,autoconfirmed,0,,infinity,217407
2909,0,Albinism,,2050,0,0,0.5957344450016829,20160704191912,20160704192744,727467318,27642,wikitext,2909,edit,autoconfirmed,0,,20170208202931,608273
2927,0,Albanians,,216,0,0,0.311311919532075,20160710003633,20160709182848,729076611,170336,wikitext,2927,edit,autoconfirmed,0,,20161024015713,594964
2965,0,Alcoholism,,695,0,0,0.335270332484758,20160705232154,20160705232156,728522896,112927,wikitext,2965,edit,autoconfirmed,0,,infinity,413423
3201,0,Attribution_of_recent_climate_change,,183,0,0,0.7557401431312231,20160709165736,20160709165614,728453733,94753,wikitext,3201,edit,autoconfirmed,0,,infinity,121925
3212,0,Al_Capone,,796,0,0,0.962349250877601,20160708171403,20160704192742,728314436,57002,wikitext,3212,edit,autoconfirmed,0,,infinity,512925
3263,0,Acid_rain,,724,0,0,0.605132553358686,20160709203859,20160709203901,729091197,33603,wikitext,3263,edit,autoconfirmed,0,,infinity,518198
3356,0,Bill_Clinton,,4526,0,0,0.234345915014246,20160709195852,20160709195856,729086317,184566,wikitext,3356,edit,autoconfirmed,0,,infinity,313736
3363,0,Beer,,2462,0,0,0.790988636008453,20160704191912,20160704192727,727606688,102974,wikitext,3363,edit,autoconfirmed,0,,infinity,225560
3382,0,Britney_Spears,,3082,0,0,0.949828660068874,20160703064912,20160702182519,727712360,149474,wikitext,3382,edit,autoconfirmed,0,,infinity,152092
3383,0,Brazil,,3236,0,0,0.038458465634340896,20160708101318,20160707133225,728761705,212997,wikitext,3383,edit,autoconfirmed,0,,infinity,375739
3390,0,Bible,,4348,0,0,0.247149962230725,20160705231623,20160705231722,725854716,99005,wikitext,3390,edit,autoconfirmed,0,,infinity,301392
3410,0,Bird,,3046,0,0,0.057033861109087106,20160708044038,20160708044041,728862445,179150,wikitext,3410,edit,autoconfirmed,0,,infinity,304812
3415,0,Bulgaria,,1372,0,0,0.685896389825173,20160708101343,20160706012306,728064530,167610,wikitext,3415,edit,autoconfirmed,0,,infinity,540710
3454,0,Bangladesh,,1130,0,0,0.214878986789732,20160707035142,20160707035146,728710635,208010,wikitext,3454,edit,autoconfirmed,0,,infinity,492431
3463,0,Bosnia_and_Herzegovina,,1354,0,0,0.55755495425086,20160708101249,20160706224121,728680131,155620,wikitext,3463,edit,autoconfirmed,0,,20161107135046,619235
3466,0,Brunei,,757,0,0,0.557359309454783,20160709175429,20160709175246,727898099,93796,wikitext,3466,edit,autoconfirmed,0,,infinity,535327
3717,0,Brain,,1830,0,0,0.8628993722264651,20160705100358,20160705100525,727451648,117802,wikitext,3717,edit,autoconfirmed,0,,infinity,570562
3722,0,Berlin_Wall,,1448,0,0,0.355959529388658,20160709153536,20160709153537,729057394,118043,wikitext,3722,edit,autoconfirmed,0,,infinity,360566
3747,0,Bill_Gates,,1987,0,0,0.906313934276173,20160708165809,20160705100528,727000381,86261,wikitext,3747,edit,autoconfirmed,0,,infinity,170869
3778,0,Book,,967,0,0,0.375275664381008,20160702181905,20160702182320,727690048,51465,wikitext,3778,edit,autoconfirmed,0,,infinity,452771
3850,0,Baseball,,2129,0,0,0.375429220847254,20160709060209,20160709060210,728794963,134828,wikitext,3850,edit,autoconfirmed,0,,infinity,537228
3921,0,Basketball,,1859,0,0,0.58268614633259,20160708082436,20160707080711,728731748,88575,wikitext,3921,edit,autoconfirmed,0,,infinity,362409
3928,0,Ball,,158,0,0,0.280417559929581,20160704191912,20160704193034,725148290,7776,wikitext,3928,edit,autoconfirmed,0,,infinity,314627
3956,0,Badminton,,561,0,0,0.5947118444318991,20160709144537,20160709144533,728318569,53876,wikitext,3956,edit,autoconfirmed,0,,infinity,610490
3970,0,British_Airways,,546,0,0,0.586534571448839,20160709172811,20160709172817,729070629,96087,wikitext,3970,edit,autoconfirmed,0,,infinity,602485
3978,0,Book_of_Mormon,,1226,0,0,0.575793603971408,20160707220128,20160704190756,728339623,93465,wikitext,3978,edit,autoconfirmed,0,,20160801130953,607136
3979,0,Baptists,,1380,0,0,0.515843678746227,20160708132407,20160707023929,728704078,51676,wikitext,3979,edit,autoconfirmed,0,,20161012185934,616287
3986,0,Benjamin_Franklin,,2403,0,0,0.31168650678516,20160708002825,20160707053141,728719800,163347,wikitext,3986,edit,autoconfirmed,0,,infinity,309970
4009,0,Bigfoot,,741,0,0,0.150582069671324,20160704191912,20160704192812,727961421,47412,wikitext,4009,edit,autoconfirmed,0,,infinity,276174
4068,0,Blaise_Pascal,,1595,0,0,0.16275403477508,20160707133518,20160707133522,728762064,44928,wikitext,4068,edit,autoconfirmed,0,,infinity,447441
4116,0,Big_Bang,,1933,0,0,0.0981108109449137,20160705095532,20160705095601,727387856,101453,wikitext,4116,edit,autoconfirmed,0,,infinity,527161
4173,0,Babe_Ruth,,1367,0,0,0.35076223812137,20160707223136,20160707034223,728709942,118492,wikitext,4173,edit,autoconfirmed,0,,infinity,248426
4230,0,Cell_(biology),,3315,0,0,0.832025813713694,20160710012027,20160710012008,728590634,45700,wikitext,4230,edit,autoconfirmed,0,,infinity,326006
4246,0,Bollywood,,696,0,0,0.307702336746922,20160709150018,20160709150037,726949750,107756,wikitext,4246,edit,autoconfirmed,0,,infinity,353321
4248,0,Bowls,,165,0,0,0.678355236238199,20160708174145,20160708172434,724969005,22362,wikitext,4248,edit,autoconfirmed,0,,infinity,419295
4294,0,British_National_Party,,765,0,0,0.109491398659992,20160708122945,20160708123001,728595557,122035,wikitext,4294,edit,autoconfirmed,0,,infinity,519643
4314,0,Black_Sabbath,,871,0,0,0.871816552124747,20160707131524,20160707131556,727458429,133359,wikitext,4314,edit,autoconfirmed,0,,infinity,546924
4335,0,Batman,,2055,0,0,0.570574547695531,20160710013139,20160710013142,729121034,132151,wikitext,4335,edit,autoconfirmed,0,,infinity,356760
4339,0,Boston_Red_Sox,,1142,0,0,0.577263935075387,20160709234629,20160709234522,727862521,124162,wikitext,4339,edit,autoconfirmed,0,,infinity,306891
4375,0,Barry_Bonds,,612,0,0,0.843003441433425,20160709124811,20160709124814,729040818,119007,wikitext,4375,edit,autoconfirmed,0,,infinity,381723
4399,0,Beaver,,588,0,0,0.0304440362662487,20160704191912,20160704192819,727779729,57030,wikitext,4399,edit,autoconfirmed,0,,infinity,390986
4400,0,Bear,,672,0,0,0.799861573427787,20160709215918,20160709215921,729099665,68405,wikitext,4400,edit,autoconfirmed,0,,infinity,462536
4401,0,Bald_eagle,,298,0,0,0.9079757890738319,20160709171027,20160707044851,728715563,101460,wikitext,4401,edit,autoconfirmed,0,,infinity,314631
4431,0,Beauty,,1248,0,0,0.811553230333657,20160708173906,20160708173912,728934794,27344,wikitext,4431,edit,autoconfirmed,0,,infinity,537208
4489,0,Breast,,915,0,0,0.724952814844393,20160709145447,20160709150101,725093763,53728,wikitext,4489,edit,autoconfirmed,0,,infinity,152285
4497,0,Bugatti,,621,0,0,0.901443743986491,20160706110952,20160704192805,724147238,24107,wikitext,4497,edit,autoconfirmed,0,,infinity,566731
4501,0,Black_Death,,3228,0,0,0.47403420645188,20160708074553,20160708074554,728878431,64872,wikitext,4501,edit,autoconfirmed,0,,infinity,332781
4531,0,Bipolar_disorder,,3382,0,0,0.368915311404425,20160709170329,20160709170333,729067603,102168,wikitext,4531,edit,autoconfirmed,0,,infinity,245595
4543,0,Blue,,1065,0,0,0.436850913275826,20160707215543,20160707004728,728692302,113601,wikitext,4543,edit,autoconfirmed,0,,infinity,228751
4572,0,Blackbeard,,242,0,0,0.995811769734893,20160705095532,20160705095618,716929907,63738,wikitext,4572,edit,autoconfirmed,0,,infinity,450997
4650,0,Black_hole,,1481,0,0,0.141832371374436,20160709173630,20160709173631,729071473,114481,wikitext,4650,edit,autoconfirmed,0,,infinity,471312
4654,0,Bee,,485,0,0,0.516999274973757,20160708051418,20160708051423,728865792,77354,wikitext,4654,edit,autoconfirmed,0,,infinity,471930
4721,0,British_Empire,,3454,0,0,0.5215015527992519,20160706183711,20160706183713,728650404,117609,wikitext,4721,edit,autoconfirmed,0,,infinity,461351
4726,0,Batman_(1989_film),,335,0,0,0.781733883341526,20160707052328,20160707050008,727872391,64223,wikitext,4726,edit,autoconfirmed,0,,infinity,335618
4745,0,Black_people,,252,0,0,0.659190291221431,20160705100358,20160705100534,724483833,99548,wikitext,4745,edit,autoconfirmed,0,,infinity,295269
4849,0,Battle_of_Gettysburg,,1130,0,0,0.697949943782715,20160706201127,20160706201139,727702002,101195,wikitext,4849,edit,autoconfirmed,0,,infinity,409596
4854,0,Bermuda_Triangle,,451,0,0,0.48650333796302203,20160710005022,20160710005022,729117023,45749,wikitext,4854,edit,autoconfirmed,0,,infinity,268444
4924,0,Bunsen_burner,,2159,0,0,0.78520811515414,20160704191912,20160704192857,725598873,10146,wikitext,4924,edit,autoconfirmed,0,,infinity,611494
4925,0,Blue_whale,,262,0,0,0.182337018831016,20160709215255,20160709215258,729099064,89833,wikitext,4925,edit,autoconfirmed,0,,infinity,314663
5052,0,Bentley,,168,0,0,0.285735349436975,20160706110952,20160704192901,724434835,47184,wikitext,5052,edit,autoconfirmed,0,,infinity,566721
5134,0,Chess,,5300,0,0,0.400648132339724,20160709090942,20160709090946,729024427,114268,wikitext,5134,edit,autoconfirmed,0,,infinity,600081
5142,0,Charlie_Chaplin,,1540,0,0,0.21833330599435902,20160709211829,20160705100546,728182305,143074,wikitext,5142,edit,autoconfirmed,0,,infinity,564707
5180,0,Chemistry,,17720,0,0,0.681645658502025,20160706204359,20160706204455,722557773,64564,wikitext,5180,edit,autoconfirmed,0,,infinity,314665
5211,0,Christianity,,9246,0,0,0.05742514790727311,20160708051839,20160708051842,728866166,190154,wikitext,5211,edit,autoconfirmed,0,,infinity,313651
5222,0,Colombia,,1684,0,0,0.8989816605103961,20160709021403,20160707232830,728833248,194850,wikitext,5222,edit,autoconfirmed,0,,infinity,579851
5233,0,Carl_Linnaeus,,2779,0,0,0.5425147605524541,20160709184318,20160709184320,729078022,107019,wikitext,5233,edit,autoconfirmed,0,,infinity,621084
5253,0,Constitution,,1726,0,0,0.33147162323023305,20160706125521,20160706125626,728470474,76409,wikitext,5253,edit,autoconfirmed,0,,infinity,600991
5278,0,Copyright,,2420,0,0,0.6548009064558901,20160704191912,20160704192908,726352851,63448,wikitext,5278,edit,autoconfirmed,0,,20161127075518,599149
5299,0,Carbon,,4393,0,0,0.682863023768052,20160707220128,20160708235444,728641832,74426,wikitext,5299,edit,autoconfirmed,0,,infinity,213116
5363,0,Video_game,,31,0,0,0.81095325370408,20160708072835,20160708072841,728662059,75255,wikitext,5363,edit,autoconfirmed,0,,infinity,447226
5374,0,Condom,,847,0,0,0.920829529800294,20160709145447,20160709150037,726618220,103572,wikitext,5374,edit,autoconfirmed,0,,infinity,106214
5382,0,Inflation_(cosmology),,484,0,0,0.0289332624794294,20160709211204,20160709211205,729094861,93768,wikitext,5382,edit,autoconfirmed,0,,infinity,531814
5405,0,China,,9984,0,0,0.9491386115077309,20160709175429,20160709175242,728158604,233133,wikitext,5405,edit,autoconfirmed,0,,infinity,253659
5407,0,California,,4047,0,0,0.483894652206353,20160709114020,20160709114025,729035652,186852,wikitext,5407,edit,autoconfirmed,0,,infinity,314667
5489,0,Chile,,3722,0,0,0.17905966954218203,20160708101507,20160708003103,728839326,148601,wikitext,5489,edit,autoconfirmed,0,,20200120022114,560437
5551,0,Costa_Rica,,1120,0,0,0.692929815214993,20160709015118,20160709015121,728989260,83489,wikitext,5551,edit,autoconfirmed,0,,infinity,501817
5573,0,Croatia,,1746,0,0,0.647514358765925,20160708210131,20160708210135,728959243,182709,wikitext,5573,edit,autoconfirmed,0,,infinity,565261
5593,0,Cyprus,,1185,0,0,0.141563899015602,20160708101605,20160705165413,728466853,170532,wikitext,5593,edit,autoconfirmed,0,,infinity,624662
5635,0,Christopher_Columbus,,5969,0,0,0.43866070587063305,20160706185255,20160706185343,727655077,107446,wikitext,5635,edit,autoconfirmed,0,,infinity,456760
5655,0,Courtney_Love,,576,0,0,0.262186115851799,20160707215026,20160707215045,728255679,136695,wikitext,5655,edit,autoconfirmed,0,,infinity,314670
5658,0,Cannibalism,,1651,0,0,0.0944579104841295,20160705100358,20160705100555,727282688,78527,wikitext,5658,edit,autoconfirmed,0,,infinity,449110
5659,0,Chemical_element,,7555,0,0,0.49520353553369995,20160708122722,20160708122740,727382676,75568,wikitext,5659,edit,autoconfirmed,0,,infinity,561019
5667,0,Chlorine,,1945,0,0,0.7751683050535321,20160708123314,20160708123403,727437130,63963,wikitext,5667,edit,autoconfirmed,0,,infinity,610826
5668,0,Calcium,,2136,0,0,0.22112076377600498,20160708123314,20160708123427,724454829,54517,wikitext,5668,edit,autoconfirmed,0,,infinity,213228
5760,0,History_of_China,,3966,0,0,0.249370929085995,20160704191912,20160704192906,726672123,110845,wikitext,5760,edit,autoconfirmed,0,,infinity,329480
5785,0,Crime,,1213,0,0,0.36743921634502597,20160705100358,20160705100542,726675211,51394,wikitext,5785,edit,autoconfirmed,0,,20161124054040,598786
5813,0,C._S._Lewis,,1661,0,0,0.358072942456298,20160708132407,20160705100553,726576342,91176,wikitext,5813,edit,autoconfirmed,0,,infinity,432024
5820,0,Confucianism,,1995,0,0,0.924774796631909,20160705100358,20160705100543,725690310,79229,wikitext,5820,edit,autoconfirmed,0,,infinity,266054
5823,0,Confucius,,748,0,0,0.25736208470292604,20160704194342,20160702211956,728055398,68539,wikitext,5823,edit,autoconfirmed,0,,infinity,447398
5884,0,Charles_Dickens,,2399,0,0,0.266707060175675,20160708172051,20160706045044,728562803,107339,wikitext,5884,edit,autoconfirmed,0,,infinity,596163
5902,0,Capital_punishment,,7658,0,0,0.055898708343411506,20160706163622,20160706163648,728328793,149685,wikitext,5902,edit,autoconfirmed,0,,infinity,204808
5910,0,Cyanide,,1244,0,0,0.579416237379812,20160706161029,20160706161609,725714865,31635,wikitext,5910,edit,autoconfirmed,0,,infinity,452616
5921,0,Color,,3330,0,0,0.540541724805293,20160704191912,20160704192913,727188431,40772,wikitext,5921,edit,autoconfirmed,0,,infinity,566765
5928,0,Clown,,1794,0,0,0.902257509438561,20160704191912,20160704192911,727359950,32386,wikitext,5928,edit,autoconfirmed,0,,20171003145627,558919
5985,0,Canadian_Radio-television_and_Telecommunications_Commission,,159,0,0,0.769761010790021,20160703230048,20160703230048,728203397,32897,wikitext,5985,edit,autoconfirmed,0,,infinity,354229
5987,0,Coal,,1317,0,0,0.501371850726541,20160709175429,20160709175235,729032486,100872,wikitext,5987,edit,autoconfirmed,0,,20160730042406,606935
5995,0,Cell,,701,0,0,0.8537641427049081,20160704191912,20160704193224,726954727,2979,wikitext,5995,edit,autoconfirmed,0,,20181123214529,598746
6015,0,Crystal,,2265,0,0,0.99279109946712,20160702181905,20160702182030,722507410,24093,wikitext,6015,edit,autoconfirmed,0,,infinity,537864
6046,0,Cicero,,1085,0,0,0.83509283311208,20160704194342,20160704192902,728086004,70479,wikitext,6046,edit,autoconfirmed,0,,20160715160501,625850
6088,0,Common_Era,,1891,0,0,0.687028064101029,20160704191912,20160704193016,725909409,67817,wikitext,6088,edit,autoconfirmed,0,,20160918172123,624536
6112,0,CN_Tower,,839,0,0,0.853742528570576,20160709222101,20160709222106,729102225,53633,wikitext,6112,edit,autoconfirmed,0,,infinity,413224
6207,0,Electric_current,,1728,0,0,0.492892284405317,20160703064912,20160629003535,726776762,34186,wikitext,6207,edit,autoconfirmed,0,,infinity,588394
6237,0,Christmas,,1853,0,0,0.844692671526869,20160707215359,20160703044022,726798088,148456,wikitext,6237,edit,autoconfirmed,0,,infinity,171234
6271,0,Chemical_reaction,,1317,0,0,0.7766687411597639,20160705140839,20160705140848,727634860,58992,wikitext,6271,edit,autoconfirmed,0,,20180329221923,568544
6299,0,Chupacabra,,392,0,0,0.044138353359083,20160703044009,20160703044059,727735392,36293,wikitext,6299,edit,autoconfirmed,0,,infinity,271485
6546,0,Celts,,2609,0,0,0.31327455333739,20160705100358,20160705100611,724443347,94902,wikitext,6546,edit,autoconfirmed,0,,infinity,338275
6548,0,Claude_Monet,,1944,0,0,0.0685555190486419,20160708150901,20160705100602,727914782,50161,wikitext,6548,edit,autoconfirmed,0,,infinity,267924
6598,0,Camel,,682,0,0,0.959209074228265,20160709023050,20160709023053,728992481,114235,wikitext,6598,edit,autoconfirmed,0,,20161225094431,520803
